,회사코드,회사명,종목코드,사업연도,금융부채,기타포괄손익-공정가치측정금융자산,당기손익-공정가치측정금융자산,보험계약부채,보험계약자산,부채총계,비유동부채,비유동자산,상각후원가측정금융자산,예수부채,유동부채,유동자산,이익잉여금,자본금,자본총계,자산총계,차입부채,파생상품부채,파생상품자산
116,102432,계룡건설산업,13580,2016,,,,,,1184026757104.0,111913625681.0,506627750055.0,,,1072113131423.0,1006807749120.0,224378079913.0,44654535000.0,329408742071.0,1513435499175.0,,,
117,102432,계룡건설산업,13580,2017,,,,,,1200588476378.0,234719445482.0,568408417752.0,,,965869030896.0,1014509743457.0,273264095737.0,44654535000.0,382329684831.0,1582918161209.0,,,
118,102432,계룡건설산업,13580,2018,,,,,,1286386579150.0,280951110170.0,647773101616.0,,,1005435468980.0,1078438580641.0,331253332014.0,44654535000.0,439825103107.0,1726211682257.0,,,
119,102432,계룡건설산업,13580,2019,,,,,,1504073074349.0,350913037259.0,729533419171.0,,,1153160037090.0,1277206885693.0,393115325854.0,44654535000.0,502667230515.0,2006740304864.0,,,
120,102432,계룡건설산업,13580,2020,,,,,,1464251994000.0,438179292058.0,718314687971.0,,,1026072701942.0,1351939390136.0,487347042197.0,44654535000.0,606002084107.0,2070254078107.0,,,
121,102432,계룡건설산업,13580,2021,,,,,,1572714062300.0,480520422129.0,728953486076.0,,,1092193640171.0,1598100581406.0,635631507519.0,44654535000.0,754340005182.0,2327054067482.0,,,
122,102432,계룡건설산업,13580,2022,,,,,,1757274727927.0,414989050923.0,856459800572.0,,,1342285677004.0,1703568860436.0,686595974973.0,44654535000.0,802753933081.0,2560028661008.0,,,
123,102432,계룡건설산업,13580,2023,,,,,,1868729174216.0,467883601171.0,887938622649.0,,,1400845573045.0,1838954013373.0,737776463850.0,44654535000.0,858163461806.0,2726892636022.0,,,
124,102618,계양전기,12200,2015,,,,,,51135838930.0,8222435594.0,111448418220.0,,,42913403336.0,100136207119.0,101456097005.0,,160448786409.0,211584625339.0,,,
125,102618,계양전기,12200,2016,,,,,,64849787497.0,11057777008.0,123509698040.0,,,53792010489.0,120473200756.0,117318638300.0,,179133111299.0,243982898796.0,,,
126,102618,계양전기,12200,2017,,,,,,74461342237.0,8007305959.0,124275998150.0,,,66454036278.0,129672489116.0,121298331964.0,17000000000.0,179487145029.0,253948487266.0,,,
127,102618,계양전기,12200,2018,,,,,,90690392344.0,31795721073.0,138286363007.0,,,58894671271.0,135072511940.0,,,182668482603.0,273358874947.0,,,
128,102618,계양전기,12200,2019,,,,,,103813136493.0,30947953689.0,137373838186.0,,,72865182804.0,144362927910.0,,,177923629603.0,281736766096.0,,,
129,102618,계양전기,12200,2020,,,,,,108486343890.0,10322190852.0,131055722985.0,,,98164153038.0,163154116094.0,,,185723495189.0,294209839079.0,,,
130,102618,계양전기,12200,2021,,,,,,101825429113.0,9940051457.0,133295649430.0,,,91885377656.0,151757480787.0,,,183227701104.0,285053130217.0,,,
131,102618,계양전기,12200,2022,,,,,,169633025975.0,4565419983.0,75708298801.0,,,131941547098.0,154643823757.0,101145921904.0,17000000000.0,127921529428.0,297554555403.0,,,
132,102618,계양전기,12200,2023,,,,,,111667023320.0,4190735721.0,79142539941.0,,,107476287599.0,152913592307.0,94546617142.0,14195954000.0,120389108928.0,232056132248.0,,,
133,102751,고려산업,2140,2015,,,,,,80617320690.0,8010492447.0,76899221759.0,,,72606828243.0,83060117580.0,51337781880.0,24939425000.0,79342018649.0,159959339339.0,,,
134,102751,고려산업,2140,2016,,,,,,82823473385.0,8950467637.0,81716856342.0,,,73873005748.0,86126899571.0,57170526717.0,24939425000.0,85020282528.0,167843755913.0,,,
135,102751,고려산업,2140,2017,,,,,,94365948152.0,8643570983.0,84237434448.0,,,85722377169.0,98886628428.0,,,88758114724.0,183124062876.0,,,
136,102751,고려산업,2140,2018,,,,,,121233176493.0,17692530363.0,97518450521.0,,,103540646130.0,116104316047.0,65372837614.0,24939425000.0,92389590075.0,213622766568.0,,,
137,102751,고려산업,2140,2019,,,,,,110666851118.0,15503915699.0,97098601751.0,,,95162935419.0,109391247960.0,68898140251.0,24939425000.0,95822998593.0,206489849711.0,,,
138,102751,고려산업,2140,2020,,,,,,113937778871.0,13391360937.0,120274582659.0,,,100546417934.0,96302418448.0,75074371732.0,24939425000.0,102639222236.0,216577001107.0,,,
139,102751,고려산업,2140,2021,,,,,,131754293786.0,13879429282.0,139620689033.0,,,117874864504.0,98974212002.0,78815136842.0,24939425000.0,106840607249.0,238594901035.0,,,
140,102751,고려산업,2140,2022,,,,,,169050032748.0,20765217834.0,146890895511.0,,,148284814914.0,127812632315.0,78005188396.0,24939425000.0,105653495078.0,274703527826.0,,,
141,102751,고려산업,2140,2023,,,,,,170990032083.0,22882305882.0,151320968016.0,,,148107726201.0,126594975013.0,80433108949.0,24939425000.0,106925910946.0,277915943029.0,,,
