회사코드,회사명,종목코드,사업연도,금융상품관련순손익_당기,당기순이익_당기,당기순이익(손실)_당기,매출액_당기,법인세차감전 순이익_당기,순수수료손익_당기,순이자손익_당기,영업비용_당기,영업이익_당기,영업이익(손실)_당기,이자비용_당기,이자수익_당기,총포괄손익_당기,파생상품관련손익_당기,금융상품관련순손익_전기,당기순이익_전기,당기순이익(손실)_전기,매출액_전기,법인세차감전 순이익_전기,순수수료손익_전기,순이자손익_전기,영업비용_전기,영업이익_전기,영업이익(손실)_전기,이자비용_전기,이자수익_전기,총포괄손익_전기,파생상품관련손익_전기
101664,경보제약,214390,2020,,9404446291.0,9404446291.0,215285095144.0,14030792710.0,,,,8661432439.0,,,,,,,5285239394.0,5285239394.0,191706189111.0,6982153648.0,,,,6194072642.0,,,,,
101664,경보제약,214390,2021,,-7495178995.0,-7495178995.0,170659645035.0,-9932946743.0,,,,-6624844100.0,,,,,,,9404446291.0,9404446291.0,215285095144.0,14030792710.0,,,,8661432439.0,,,,,
101664,경보제약,214390,2022,,610590092.0,610590092.0,196264902088.0,-614836349.0,,,,1392651796.0,,,,,,,-7495178995.0,-7495178995.0,170659645035.0,-9932946743.0,,,,-6624844100.0,,,,,
101664,경보제약,214390,2023,,2974400463.0,2974400463.0,216357481796.0,2171924324.0,,,,5544771906.0,,,,1872709023.0,,,610590092.0,610590092.0,196264902088.0,-614836349.0,,,,1392651796.0,,,,-801332276.0,
101752,케이씨피드,25880,2015,,959536268.0,959536268.0,79313028150.0,1291299694.0,,,,2307216576.0,,,,,,,-3438499472.0,-3438499472.0,89636549667.0,-2776273240.0,,,,2637322900.0,,,,,
101752,케이씨피드,25880,2016,,1093150598.0,1093150598.0,75730587611.0,2275223276.0,,,,4670187625.0,,,,,,,959536268.0,959536268.0,79313028150.0,1291299694.0,,,,2307216576.0,,,,,
101752,케이씨피드,25880,2017,,997481029.0,997481029.0,74377250054.0,-2270378613.0,,,,3967636338.0,,,,,,,1093150598.0,1093150598.0,75730587611.0,2275223276.0,,,,4670187625.0,,,,,
101752,케이씨피드,25880,2018,,544254306.0,544254306.0,63102846286.0,809789034.0,,,,231575097.0,,,,,,,997481029.0,997481029.0,74377250054.0,-2270378613.0,,,,3967636338.0,,,,,
101752,케이씨피드,25880,2019,,-6210781773.0,-6210781773.0,64474083078.0,-6605369857.0,,,,-1558495690.0,,,,,,,544254306.0,544254306.0,63102846286.0,809789034.0,,,,231575097.0,,,,,
101752,케이씨피드,25880,2020,,1333381057.0,1333381057.0,64511066475.0,1532047971.0,,,,1308443175.0,,,,,,,-6210781773.0,-6210781773.0,64474083078.0,-6605369857.0,,,,-1558495690.0,,,,,
101752,케이씨피드,25880,2021,,2441141540.0,2441141540.0,73115251303.0,3115394942.0,,,,2263199929.0,,,,,,,1333381057.0,1333381057.0,64511066475.0,1532047971.0,,,,1308443175.0,,,,,
101752,케이씨피드,25880,2022,,4062485453.0,4062485453.0,88640125797.0,5243488992.0,,,,4631356216.0,,,,,,,2441141540.0,2441141540.0,73115251303.0,3115394942.0,,,,2263199929.0,,,,,
101752,케이씨피드,25880,2023,,6192823916.0,6192823916.0,93213151874.0,6594117775.0,,,,5378945752.0,,,,5479969491.0,,,4062485453.0,4062485453.0,88640125797.0,5243488992.0,,,,4631356216.0,,,,4211624079.0,
102113,경인양행,12610,2015,,107330268.0,107330268.0,175006703015.0,332693642.0,,,,74686812.0,,,,,,,9090269159.0,9090269159.0,190395046673.0,11634825382.0,,,,10970585290.0,,,,,
102113,경인양행,12610,2016,,3724987077.0,3724987077.0,179267850251.0,4674902868.0,,,,2198152466.0,,,,,,,107330268.0,107330268.0,175006703015.0,332693642.0,,,,74686812.0,,,,,
102113,경인양행,12610,2017,,531272719.0,531272719.0,193975817754.0,1008147265.0,,,,159204046.0,,,,,,,3724987077.0,3724987077.0,179267850251.0,4674902868.0,,,,2198152466.0,,,,,
102113,경인양행,12610,2018,,7419717437.0,7419717437.0,222659442487.0,8898901934.0,,,,11975046372.0,,,,,,,531272719.0,531272719.0,193975817754.0,1008147265.0,,,,159204046.0,,,,,
102113,경인양행,12610,2019,,4797711349.0,4797711349.0,245244967696.0,3754638072.0,,,,14176377895.0,,,,,,,7419717437.0,7419717437.0,222659442487.0,8898901934.0,,,,11975046372.0,,,,,
102113,경인양행,12610,2020,,-10222700056.0,-10222700056.0,214380449119.0,-11374239397.0,,,,-5436685024.0,,,,,,,4797711349.0,4797711349.0,245244967696.0,3754638072.0,,,,14176377895.0,,,,,
102113,경인양행,12610,2021,,18015604833.0,18015604833.0,276226577287.0,19273278367.0,,,,16094740303.0,,,,,,,-10222700056.0,-10222700056.0,214380449119.0,-11374239397.0,,,,-5436685024.0,,,,,
102113,경인양행,12610,2022,,7674927572.0,7674927572.0,245973699455.0,10914941444.0,,,,10919529248.0,,,,,,,18015604833.0,18015604833.0,276226577287.0,19273278367.0,,,,16094740303.0,,,,,
102113,경인양행,12610,2023,,-18143321231.0,-18143321231.0,216180929796.0,-18813862119.0,,,,-4022679539.0,,,,-18079982896.0,,,7674927572.0,7674927572.0,245973699455.0,10914941444.0,,,,10919529248.0,,,,6776588854.0,
102140,경인전자,9140,2015,,1254084178.0,1254084178.0,15664232073.0,1510192001.0,,,,158090594.0,,,,,,,292044518.0,292044518.0,20488117296.0,386571733.0,,,,531365718.0,,,,,
