,회사코드,회사명,종목코드,사업연도,기타포괄손익-공정가치측정금융자산,당기손익-공정가치측정금융자산,보험계약부채,보험계약자산,부채총계,비유동부채,비유동자산,상각후원가측정금융자산,예수부채,유동부채,유동자산,이익잉여금,자본금,자본총계,자산총계,차입부채,파생상품부채,파생상품자산
136,102432,계룡건설산업,13580,2019,,,,,1122506285094.0,244756368674.0,612864242637.0,,,877749916420.0,921813057143.0,360246684534.0,44654535000.0,412171014686.0,1534677299780.0,,,
137,102432,계룡건설산업,13580,2020,,,,,1023996169302.0,344614117706.0,615407244663.0,,,679382051596.0,924361079803.0,462823356248.0,44654535000.0,515772155164.0,1539768324466.0,,,
138,102432,계룡건설산업,13580,2021,,,,,1066972417422.0,262682969133.0,632551346063.0,,,804289448289.0,1090119036467.0,605014553896.0,44654535000.0,655697965108.0,1722670382530.0,,,
139,102432,계룡건설산업,13580,2022,,,,,1098232791923.0,213111160230.0,716705857353.0,,,885121631693.0,1083534178093.0,654022876388.0,44654535000.0,702007243523.0,1800240035446.0,,,
140,102432,계룡건설산업,13580,2023,,,,,1188131810632.0,239989483494.0,700982893458.0,,,948142327138.0,1237546170751.0,702346236838.0,44654535000.0,750397253577.0,1938529064209.0,,,
141,102618,계양전기,12200,2015,,,,,47522232679.0,8145824387.0,115067471400.0,,,39376408292.0,92903547688.0,101456097005.0,,160448786409.0,207971019088.0,,,
142,102618,계양전기,12200,2016,,,,,56276945060.0,8076277187.0,124324380806.0,,,48200667873.0,108188898180.0,117534527799.0,,176236333926.0,232513278986.0,,,
143,102618,계양전기,12200,2017,,,,,68746604807.0,8016011230.0,132159208394.0,,,60730593577.0,116074541442.0,121514221463.0,17000000000.0,179487145029.0,248233749836.0,,,
144,102618,계양전기,12200,2018,,,,,78072794320.0,26635117539.0,140260402389.0,,,51437676781.0,120145081175.0,124621753084.0,17000000000.0,182332689244.0,260405483564.0,,,
145,102618,계양전기,12200,2019,,,,,88026181577.0,28882364451.0,135907752741.0,,,59143817126.0,129727001968.0,119561308162.0,17000000000.0,177608573132.0,265634754709.0,,,
